ESTUDIANTE,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M13,M14,APROBO
E1,C1,C1,C1,C2,C1,C1,C1,C1,C1,C1,C3,C3,C4,C3,1
E2,C2,C1,C2,C2,C1,C1,C2,C1,C1,C1,C3,C3,C4,C3,1
E3,C2,C1,C1,C2,C1,C1,C1,C1,C1,C1,C3,C3,C4,C3,1
E4,C2,C1,C1,C2,C1,C1,C2,C4,C3,C3,C1,C2,C3,C2,0
E5,C4,C4,C4,C4,C4,C3,C4,C2,C4,C4,C1,C2,C3,C2,1
E6,C1,C1,C1,C2,C1,C2,C1,C1,C1,C1,C3,C3,C4,C4,1
E7,C3,C2,C3,C3,C2,C4,C3,C3,C2,C2,C2,C1,C1,C1,0
E8,C4,C4,C1,C4,C3,C3,C1,C1,C1,C1,C3,C1,C2,C1,1
E9,C1,C1,C1,C1,C1,C1,C1,C1,C1,C1,C4,C4,C2,C1,1
E10,C3,C2,C3,C3,C2,C4,C3,C3,C2,C2,C2,C1,C1,C1,0
E11,C1,C1,C1,C2,C1,C1,C1,C1,C1,C1,C3,C3,C4,C3,1
E12,C4,C3,C4,C4,C3,C3,C4,C2,C3,C3,C1,C2,C3,C2,1
E13,C4,C3,C4,C1,C3,C3,C4,C2,C3,C3,C1,C3,C4,C2,0