"No participante","P1","P2","P3","P4","P5","P6","U1","U2","U3","U4","U5","U6"
"E1","962.83333333333","879.66666666667","976","1003.1666666667","966.83333333333","964.83333333333","15.333333333333","15.333333333333","6.8333333333333","9.5","4.8333333333333","4.8333333333333"
"E2","945.5","952.83333333333","896","904.16666666667","672.16666666667","739.16666666667","20.5","14.833333333333","5.6666666666667","10.833333333333","5.1666666666667","4.5"
"E3","903","967.33333333333","929.5","913.5","941.83333333333","951","0.66666666666667","1.1666666666667","0.66666666666667","0.83333333333333","3.5","3.3333333333333"
"E4","515.16666666667","5.5","969.66666666667","721.5","802.5","598","10.5","6.3333333333333","8.8333333333333","7.6666666666667","4.1666666666667","3.1666666666667"
"E5","936.33333333333","6.8333333333333","965","919.83333333333","948","664","14.666666666667","16.333333333333","10.166666666667","10.5","5.5","2.6666666666667"
"E6","645.33333333333","599.5","642.5","618.66666666667","618.66666666667","589.16666666667","17.166666666667","14.333333333333","9.3333333333333","9.5","5.6666666666667","4.3333333333333"
"E7","132","1","6.3333333333333","230.83333333333","283.33333333333","463.83333333333","1.3333333333333","1.5","0.83333333333333","0.83333333333333","2.1666666666667","3"
"E8","132.16666666667","2.1666666666667","0","26.833333333333","371.83333333333","333.83333333333","14.666666666667","13.666666666667","8.5","8","2.8333333333333","3.6666666666667"
"E9","104","0","3","146.33333333333","457.66666666667","455.33333333333","0.66666666666667","0.83333333333333","1","0.83333333333333","2.8333333333333","2.6666666666667"
"E10","124.16666666667","0.5","0.33333333333333","331.33333333333","406.83333333333","970.16666666667","15","15","10.5","9.6666666666667","3.3333333333333","2.8333333333333"
"E11","905.16666666667","970","796.33333333333","971","874.5","947.33333333333","14.333333333333","11","9","2.6666666666667","3","3"
"E12","703.16666666667","0.33333333333333","713.66666666667","961.16666666667","948.83333333333","967.66666666667","0.83333333333333","1.3333333333333","1","1.5","2.5","1.3333333333333"
"E13","812.83333333333","0.83333333333333","790.5","977.83333333333","954","965.33333333333","7.1666666666667","13.5","10","4.5","4","5.6666666666667"